id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
337055,65,BlockedShot,0.869000015,0.610999985,0.140666097,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11807,Leicester,Norwich,1,1,14/12/19 15:00,Youri Tielemans,TakeOn
337058,70,SavedShot,0.929000015,0.422000008,0.087766677,Jamie Vardy,h,755,FromCorner,2019,RightFoot,11807,Leicester,Norwich,1,1,14/12/19 15:00,,Dispossessed
338749,21,Goal,0.936999969,0.645999985,0.263587683,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,11817,Manchester City,Leicester,3,1,21/12/19 17:30,Harvey Barnes,Pass
338751,27,MissedShots,0.965999985,0.655,0.176194504,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,11817,Manchester City,Leicester,3,1,21/12/19 17:30,James Maddison,TakeOn
339690,83,MissedShots,0.963000031,0.680999985,0.061224319,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11828,Leicester,Liverpool,0,4,26/12/19 20:00,Caglar SÌ¦yÌ_ncÌ_,Pass
352062,67,SavedShot,0.885,0.5,0.761168838,Jamie Vardy,a,755,Penalty,2019,RightFoot,11866,Burnley,Leicester,2,1,19/01/20 14:00,,Standard
352068,77,SavedShot,0.863000031,0.585999985,0.336941242,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,11866,Burnley,Leicester,2,1,19/01/20 14:00,Kelechi Iheanacho,Throughball
352245,3,SavedShot,0.880999985,0.580999985,0.111097656,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11876,Leicester,West Ham,4,1,22/01/20 19:30,Harvey Barnes,TakeOn
352371,24,SavedShot,0.879000015,0.379000015,0.249879003,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11886,Leicester,Chelsea,2,2,01/02/20 12:30,Ayoze PÌ©rez,BallRecovery
353029,7,ShotOnPost,0.830999985,0.41,0.318736166,Jamie Vardy,h,755,OpenPlay,2019,RightFoot,11904,Leicester,Manchester City,0,1,22/02/20 17:30,Youri Tielemans,Throughball
353041,48,MissedShots,0.878000031,0.422999992,0.071201853,Jamie Vardy,h,755,OpenPlay,2019,RightFoot,11904,Leicester,Manchester City,0,1,22/02/20 17:30,Ricardo Pereira,Cross
353050,69,MissedShots,0.875999985,0.646999969,0.038964644,Jamie Vardy,h,755,FromCorner,2019,LeftFoot,11904,Leicester,Manchester City,0,1,22/02/20 17:30,Ricardo Pereira,Chipped
353051,73,BlockedShot,0.781999969,0.39,0.029466592,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11904,Leicester,Manchester City,0,1,22/02/20 17:30,Caglar SÌ¦yÌ_ncÌ_,Chipped
353601,62,Goal,0.885,0.5,0.761168838,Jamie Vardy,h,755,Penalty,2019,RightFoot,11927,Leicester,Aston Villa,4,0,09/03/20 20:00,,Standard
353603,78,Goal,0.920999985,0.660999985,0.077408493,Jamie Vardy,h,755,OpenPlay,2019,RightFoot,11927,Leicester,Aston Villa,4,0,09/03/20 20:00,,None
365170,10,BlockedShot,0.950999985,0.560999985,0.145183921,Jamie Vardy,a,755,OpenPlay,2019,RightFoot,11935,Watford,Leicester,1,1,20/06/20 11:30,Ben Chilwell,Pass
365173,15,MissedShots,0.754000015,0.545999985,0.031738639,Jamie Vardy,a,755,OpenPlay,2019,RightFoot,11935,Watford,Leicester,1,1,20/06/20 11:30,,TakeOn
366076,29,SavedShot,0.929000015,0.432999992,0.048963726,Jamie Vardy,h,755,OpenPlay,2019,Head,11945,Leicester,Brighton,0,0,23/06/20 17:00,Ben Chilwell,Aerial
366090,91,BlockedShot,0.91,0.369000015,0.021813441,Jamie Vardy,h,755,OpenPlay,2019,Head,11945,Leicester,Brighton,0,0,23/06/20 17:00,James Maddison,Cross
368588,47,MissedShots,0.875,0.592999992,0.020300567,Jamie Vardy,h,755,OpenPlay,2019,Head,11965,Leicester,Crystal Palace,3,0,04/07/20 14:00,Marc Albrighton,Cross
368591,54,MissedShots,0.92,0.654000015,0.096168704,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11965,Leicester,Crystal Palace,3,0,04/07/20 14:00,Ayoze PÌ©rez,Pass
368593,71,BlockedShot,0.815,0.547999992,0.106975965,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11965,Leicester,Crystal Palace,3,0,04/07/20 14:00,,TakeOn
368595,76,Goal,0.904000015,0.465999985,0.434999079,Jamie Vardy,h,755,OpenPlay,2019,RightFoot,11965,Leicester,Crystal Palace,3,0,04/07/20 14:00,Harvey Barnes,Pass
368594,76,MissedShots,0.888000031,0.645999985,0.171207383,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11965,Leicester,Crystal Palace,3,0,04/07/20 14:00,Kasper Schmeichel,Pass
368599,93,Goal,0.869000015,0.617000008,0.289751023,Jamie Vardy,h,755,OpenPlay,2019,RightFoot,11965,Leicester,Crystal Palace,3,0,04/07/20 14:00,Harvey Barnes,Pass
369526,8,SavedShot,0.766999969,0.527000008,0.029209573,Jamie Vardy,a,755,OpenPlay,2019,RightFoot,11973,Arsenal,Leicester,1,1,07/07/20 19:15,,Dispossessed
369545,65,MissedShots,0.864000015,0.502000008,0.070163637,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,11973,Arsenal,Leicester,1,1,07/07/20 19:15,Ayoze PÌ©rez,Cross
369548,83,Goal,0.924000015,0.535999985,0.465025902,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,11973,Arsenal,Leicester,1,1,07/07/20 19:15,Demarai Gray,Pass
371100,7,BlockedShot,0.861999969,0.569000015,0.096850932,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,11984,Bournemouth,Leicester,4,1,12/07/20 18:00,Ayoze PÌ©rez,Pass
371103,21,BlockedShot,0.865,0.325999985,0.071022801,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,11984,Bournemouth,Leicester,4,1,12/07/20 18:00,,TakeOn
371105,22,Goal,0.98,0.519000015,0.880208373,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,11984,Bournemouth,Leicester,4,1,12/07/20 18:00,,None
371104,22,BlockedShot,0.88,0.344000015,0.069180608,Jamie Vardy,a,755,OpenPlay,2019,RightFoot,11984,Bournemouth,Leicester,4,1,12/07/20 18:00,Youri Tielemans,Pass
371108,36,BlockedShot,0.906999969,0.575999985,0.122411914,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,11984,Bournemouth,Leicester,4,1,12/07/20 18:00,,BallRecovery
371882,11,SavedShot,0.933000031,0.350999985,0.32568422,Jamie Vardy,h,755,OpenPlay,2019,RightFoot,11998,Leicester,Sheffield United,2,0,16/07/20 17:00,,None
371881,11,BlockedShot,0.895999985,0.435,0.101157412,Jamie Vardy,h,755,OpenPlay,2019,RightFoot,11998,Leicester,Sheffield United,2,0,16/07/20 17:00,James Justin,CornerAwarded
371889,50,ShotOnPost,0.91,0.63,0.358312607,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11998,Leicester,Sheffield United,2,0,16/07/20 17:00,Youri Tielemans,Throughball
372454,7,MissedShots,0.915,0.525,0.101107113,Jamie Vardy,a,755,OpenPlay,2019,Head,12010,Tottenham,Leicester,3,0,19/07/20 15:00,James Justin,Cross
372456,12,BlockedShot,0.906999969,0.51,0.104600042,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,12010,Tottenham,Leicester,3,0,19/07/20 15:00,Luke Thomas,Cross
372459,18,BlockedShot,0.946999969,0.632999992,0.031547479,Jamie Vardy,a,755,OpenPlay,2019,Head,12010,Tottenham,Leicester,3,0,19/07/20 15:00,Harvey Barnes,Cross
372461,19,BlockedShot,0.974000015,0.515,0.135299593,Jamie Vardy,a,755,FromCorner,2019,RightFoot,12010,Tottenham,Leicester,3,0,19/07/20 15:00,,Clearance
372462,19,SavedShot,0.964000015,0.534000015,0.151408315,Jamie Vardy,a,755,FromCorner,2019,RightFoot,12010,Tottenham,Leicester,3,0,19/07/20 15:00,,Rebound
